df,Freq
AE,49
AF,9
AL,110
AM,27
AO,13
AR,14111
AT,10715
AU,11483
AZ,34
BA,116
BD,39
BE,10263
BF,56
BG,9936
BI,1
BJ,15
BM,1
BO,29
BR,40112
BS,1
MM,3
BY,36
CA,27508
CF,1
CG,8
CH,1022
CI,24
CL,1794
CM,38
CN,1246
CO,1324
CR,22
CZ,2699
CU,337
CV,1
CY,3
CZ,2643
DE,3372
DE,27518
DJ,1
DK,24285
DO,23
DZ,43
EC,41
EE,1081
EG,343
ES,43345
ET,3
FI,34204
FO,1
FR,43209
GA,11
GB,49030
GE,138
GH,8
GL,6
GN,10
GR,34773
GT,8
GU,1
GW,4
GY,1
HK,6703
HR,2780
HT,6
HU,26047
ID,464
IE,1339
IL,1505
IN,7848
IQ,6
IR,1306
IS,343
IT,37061
JM,176
JO,2
JP,29062
KG,5
KH,2
KP,9
KR,395
KW,1
KZ,27
LA,1
LB,20
LI,10
LK,31
LT,3005
LU,44
LV,178
LY,3
MA,9
MC,5
MD,3
MG,5
MK,18
ML,18
MN,9
MR,4
MT,1
MU,1
MX,16538
MY,188
MZ,16
NE,14
NG,46
NI,2
NL,7169
NO,10580
NP,3
NZ,915
PA,192
PE,2724
PG,1
PH,1006
PK,63
PL,25210
PR,39
PS,1
PT,28619
PY,13
RO,10029
RS,5672
RU,9497
RW,2
SC,2
SD,3
SE,27783
SG,405
SI,3153
SK,1517
SN,57
SO,2
SR,1
UA,19837
SV,8
SY,8
TD,1
TG,3
TH,134
TJ,6
TM,15
TN,29
TR,10467
TT,2
TW,3791
TZ,2
UA,4384
US,115878
UY,2954
UZ,199
VN,5
VE,4265
VN,507
ZA,652
ZM,1
ZW,6
