startYear,titleType,Freq
1888,movie,0
1890,movie,0
1891,movie,0
1892,movie,0
1893,movie,0
1894,movie,0
1895,movie,0
1896,movie,1
1897,movie,4
1898,movie,2
1899,movie,4
1900,movie,5
1901,movie,3
1902,movie,3
1903,movie,3
1904,movie,1
1905,movie,2
1906,movie,4
1907,movie,5
1908,movie,11
1909,movie,21
1910,movie,30
1911,movie,27
1912,movie,36
1913,movie,47
1914,movie,65
1915,movie,36
1916,movie,43
1917,movie,37
1918,movie,99
1919,movie,52
1920,movie,138
1921,movie,127
1922,movie,132
1923,movie,138
1924,movie,161
1925,movie,164
1926,movie,208
1927,movie,218
1928,movie,218
1929,movie,246
1930,movie,48
1931,movie,97
1932,movie,317
1933,movie,331
1934,movie,427
1935,movie,497
1936,movie,355
1937,movie,349
1938,movie,116
1939,movie,128
1940,movie,236
1941,movie,414
1942,movie,338
1943,movie,182
1944,movie,81
1945,movie,63
1946,movie,56
1947,movie,248
1948,movie,424
1949,movie,429
1950,movie,434
1951,movie,461
1952,movie,443
1953,movie,538
1954,movie,498
1955,movie,552
1956,movie,503
1957,movie,333
1958,movie,528
1959,movie,614
1960,movie,580
1961,movie,412
1962,movie,242
1963,movie,382
1964,movie,538
1965,movie,484
1966,movie,507
1967,movie,576
1968,movie,583
1969,movie,666
1970,movie,556
1971,movie,752
1972,movie,587
1973,movie,723
1974,movie,672
1975,movie,697
1976,movie,680
1977,movie,694
1978,movie,752
1979,movie,882
1980,movie,946
1981,movie,916
1982,movie,886
1983,movie,789
1984,movie,648
1985,movie,861
1986,movie,940
1987,movie,878
1988,movie,1012
1989,movie,843
1990,movie,501
1991,movie,617
1992,movie,574
1993,movie,756
1994,movie,1095
1995,movie,600
1996,movie,674
1997,movie,571
1998,movie,825
1999,movie,964
2000,movie,987
2001,movie,1141
2002,movie,1154
2003,movie,1145
2004,movie,1378
2005,movie,1499
2006,movie,1437
2007,movie,955
2008,movie,363
2009,movie,171
2010,movie,78
2011,movie,40
2012,movie,16
2013,movie,16
2014,movie,14
2015,movie,12
2016,movie,17
2017,movie,13
2018,movie,18
2019,movie,134
2020,movie,38
2021,movie,11
1888,short,1
1890,short,2
1891,short,1
1892,short,4
1893,short,1
1894,short,29
1895,short,29
1896,short,167
1897,short,171
1898,short,101
1899,short,75
1900,short,104
1901,short,71
1902,short,44
1903,short,104
1904,short,66
1905,short,34
1906,short,37
1907,short,39
1908,short,53
1909,short,60
1910,short,106
1911,short,116
1912,short,188
1913,short,119
1914,short,91
1915,short,49
1916,short,38
1917,short,28
1918,short,53
1919,short,32
1920,short,51
1921,short,50
1922,short,51
1923,short,70
1924,short,79
1925,short,71
1926,short,90
1927,short,87
1928,short,82
1929,short,100
1930,short,77
1931,short,84
1932,short,145
1933,short,151
1934,short,173
1935,short,144
1936,short,114
1937,short,118
1938,short,62
1939,short,42
1940,short,99
1941,short,116
1942,short,128
1943,short,84
1944,short,58
1945,short,41
1946,short,46
1947,short,82
1948,short,108
1949,short,80
1950,short,97
1951,short,108
1952,short,111
1953,short,115
1954,short,95
1955,short,106
1956,short,100
1957,short,76
1958,short,81
1959,short,75
1960,short,82
1961,short,54
1962,short,52
1963,short,71
1964,short,88
1965,short,73
1966,short,110
1967,short,104
1968,short,114
1969,short,100
1970,short,88
1971,short,90
1972,short,80
1973,short,70
1974,short,79
1975,short,77
1976,short,63
1977,short,66
1978,short,93
1979,short,85
1980,short,82
1981,short,66
1982,short,65
1983,short,59
1984,short,51
1985,short,87
1986,short,80
1987,short,72
1988,short,82
1989,short,91
1990,short,60
1991,short,85
1992,short,128
1993,short,146
1994,short,206
1995,short,173
1996,short,224
1997,short,218
1998,short,309
1999,short,395
2000,short,527
2001,short,535
2002,short,610
2003,short,778
2004,short,1059
2005,short,1176
2006,short,935
2007,short,245
2008,short,7
2009,short,9
2010,short,5
2011,short,1
2012,short,2
2013,short,0
2014,short,6
2015,short,2
2016,short,10
2017,short,7
2018,short,13
2019,short,84
2020,short,8
2021,short,3
1888,tvEpisode,0
1890,tvEpisode,0
1891,tvEpisode,0
1892,tvEpisode,0
1893,tvEpisode,0
1894,tvEpisode,0
1895,tvEpisode,0
1896,tvEpisode,0
1897,tvEpisode,0
1898,tvEpisode,0
1899,tvEpisode,0
1900,tvEpisode,0
1901,tvEpisode,0
1902,tvEpisode,0
1903,tvEpisode,0
1904,tvEpisode,0
1905,tvEpisode,0
1906,tvEpisode,0
1907,tvEpisode,0
1908,tvEpisode,0
1909,tvEpisode,1
1910,tvEpisode,0
1911,tvEpisode,5
1912,tvEpisode,1
1913,tvEpisode,7
1914,tvEpisode,2
1915,tvEpisode,2
1916,tvEpisode,2
