"region","startYear","Country","Latitude","Longitude","Freq"
"MX","1907","Mexico","23","-102",1
"MX","1909","Mexico","23","-102",5
"MX","1910","Mexico","23","-102",1
"MX","1911","Mexico","23","-102",4
"MX","1912","Mexico","23","-102",2
"MX","1913","Mexico","23","-102",4
"MX","1914","Mexico","23","-102",3
"MX","1915","Mexico","23","-102",3
"MX","1916","Mexico","23","-102",6
"MX","1917","Mexico","23","-102",19
"MX","1918","Mexico","23","-102",6
"MX","1919","Mexico","23","-102",20
"US","1897","UnitedStates","38","-97",2
"US","1898","UnitedStates","38","-97",4
"US","1899","UnitedStates","38","-97",8
"US","1900","UnitedStates","38","-97",8
"US","1901","UnitedStates","38","-97",7
"US","1902","UnitedStates","38","-97",3
"US","1903","UnitedStates","38","-97",2
"US","1904","UnitedStates","38","-97",1
"US","1906","UnitedStates","38","-97",12
"US","1907","UnitedStates","38","-97",4
"US","1908","UnitedStates","38","-97",6
"US","1909","UnitedStates","38","-97",16
"US","1910","UnitedStates","38","-97",21
"US","1911","UnitedStates","38","-97",39
"US","1912","UnitedStates","38","-97",85
"US","1913","UnitedStates","38","-97",228
"US","1914","UnitedStates","38","-97",583
"US","1915","UnitedStates","38","-97",847
"US","1916","UnitedStates","38","-97",1181
"US","1917","UnitedStates","38","-97",1264
"US","1918","UnitedStates","38","-97",1144
"US","1919","UnitedStates","38","-97",1102
"CA","1906","Canada","60","-95",1
"CA","1912","Canada","60","-95",1
"CA","1913","Canada","60","-95",8
"CA","1914","Canada","60","-95",15
"CA","1915","Canada","60","-95",8
"CA","1916","Canada","60","-95",11
"CA","1917","Canada","60","-95",14
"CA","1918","Canada","60","-95",9
"CA","1919","Canada","60","-95",16
"PE","1910","Peru","-10","-76",1
"CO","1915","Colombia","4","-72",2
"CL","1910","Chile","-30","-71",1
"CL","1914","Chile","-30","-71",1
"CL","1916","Chile","-30","-71",5
"CL","1917","Chile","-30","-71",2
"CL","1918","Chile","-30","-71",3
"CL","1919","Chile","-30","-71",4
"VE","1911","Venezuela","8","-66",1
"VE","1912","Venezuela","8","-66",1
"VE","1913","Venezuela","8","-66",3
"VE","1914","Venezuela","8","-66",7
"VE","1915","Venezuela","8","-66",9
"VE","1916","Venezuela","8","-66",8
"VE","1917","Venezuela","8","-66",11
"VE","1918","Venezuela","8","-66",9
"VE","1919","Venezuela","8","-66",9
"VE","1911","Venezuela,BolivarianRepublicOf","8","-66",1
"VE","1912","Venezuela,BolivarianRepublicOf","8","-66",1
"VE","1913","Venezuela,BolivarianRepublicOf","8","-66",3
"VE","1914","Venezuela,BolivarianRepublicOf","8","-66",7
"VE","1915","Venezuela,BolivarianRepublicOf","8","-66",9
"VE","1916","Venezuela,BolivarianRepublicOf","8","-66",8
"VE","1917","Venezuela,BolivarianRepublicOf","8","-66",11
"VE","1918","Venezuela,BolivarianRepublicOf","8","-66",9
"VE","1919","Venezuela,BolivarianRepublicOf","8","-66",9
"AR","1905","Argentina","-34","-64",1
"AR","1907","Argentina","-34","-64",3
"AR","1908","Argentina","-34","-64",1
"AR","1909","Argentina","-34","-64",4
"AR","1910","Argentina","-34","-64",5
"AR","1911","Argentina","-34","-64",2
"AR","1912","Argentina","-34","-64",3
"AR","1913","Argentina","-34","-64",5
"AR","1914","Argentina","-34","-64",5
"AR","1915","Argentina","-34","-64",8
"AR","1916","Argentina","-34","-64",11
"AR","1917","Argentina","-34","-64",14
"AR","1918","Argentina","-34","-64",11
"AR","1919","Argentina","-34","-64",16
"UY","1915","Uruguay","-33","-56",1
"UY","1916","Uruguay","-33","-56",2
"BR","1909","Brazil","-10","-55",9
"BR","1910","Brazil","-10","-55",14
"BR","1911","Brazil","-10","-55",4
"BR","1912","Brazil","-10","-55",6
"BR","1913","Brazil","-10","-55",12
"BR","1914","Brazil","-10","-55",23
"BR","1915","Brazil","-10","-55",25
"BR","1916","Brazil","-10","-55",30
"BR","1917","Brazil","-10","-55",37
"BR","1918","Brazil","-10","-55",41
"BR","1919","Brazil","-10","-55",70
"GL","1917","Greenland","72","-40",1
"IS","1918","Iceland","65","-18",1
"PT","1898","Portugal","39.5","-8",4
"PT","1899","Portugal","39.5","-8",3
"PT","1909","Portugal","39.5","-8",2
"PT","1910","Portugal","39.5","-8",6
"PT","1911","Portugal","39.5","-8",5
"PT","1912","Portugal","39.5","-8",9
"PT","1913","Portugal","39.5","-8",14
"PT","1914","Portugal","39.5","-8",18
"PT","1915","Portugal","39.5","-8",28
"PT","1916","Portugal","39.5","-8",95
"PT","1917","Portugal","39.5","-8",150
"PT","1918","Portugal","39.5","-8",140
