"region","titleType","startYear","Freq","Country","Latitude","Longitude"
"AD","movie","2021",2,"Andorra",42.5,1.6
"AD","movie","2016",2,"Andorra",42.5,1.6
"AD","movie","2019",1,"Andorra",42.5,1.6
"AD","movie","2020",1,"Andorra",42.5,1.6
"AD","movie","1996",1,"Andorra",42.5,1.6
"AE","movie","1966",1,"UnitedArabEmirates",24,54
"AE","movie","1962",3,"UnitedArabEmirates",24,54
"AE","movie","2012",25,"UnitedArabEmirates",24,54
"AE","videoGame","2014",1,"UnitedArabEmirates",24,54
"AE","movie","1975",5,"UnitedArabEmirates",24,54
"AE","movie","1976",2,"UnitedArabEmirates",24,54
"AE","movie","1980",4,"UnitedArabEmirates",24,54
"AE","movie","1981",2,"UnitedArabEmirates",24,54
"AE","movie","1963",1,"UnitedArabEmirates",24,54
"AE","movie","2006",26,"UnitedArabEmirates",24,54
"AE","movie","1969",2,"UnitedArabEmirates",24,54
"AE","movie","1960",1,"UnitedArabEmirates",24,54
"AE","movie","1984",6,"UnitedArabEmirates",24,54
"AE","movie","2013",42,"UnitedArabEmirates",24,54
"AE","movie","1986",3,"UnitedArabEmirates",24,54
"AE","movie","1997",18,"UnitedArabEmirates",24,54
"AE","movie","1996",8,"UnitedArabEmirates",24,54
"AE","movie","1973",4,"UnitedArabEmirates",24,54
"AE","movie","2021",445,"UnitedArabEmirates",24,54
"AE","movie","2001",24,"UnitedArabEmirates",24,54
"AE","tvEpisode","2016",5,"UnitedArabEmirates",24,54
"AE","movie","1968",1,"UnitedArabEmirates",24,54
"AE","movie","2020",132,"UnitedArabEmirates",24,54
"AE","movie","1983",4,"UnitedArabEmirates",24,54
"AE","movie","2002",20,"UnitedArabEmirates",24,54
"AE","movie","1988",4,"UnitedArabEmirates",24,54
"AE","movie","1991",5,"UnitedArabEmirates",24,54
"AE","movie","1977",1,"UnitedArabEmirates",24,54
"AE","videoGame","2016",1,"UnitedArabEmirates",24,54
"AE","movie","2018",113,"UnitedArabEmirates",24,54
"AE","movie","1990",5,"UnitedArabEmirates",24,54
"AE","tvEpisode","2018",18,"UnitedArabEmirates",24,54
"AE","movie","2016",53,"UnitedArabEmirates",24,54
"AE","movie","1985",3,"UnitedArabEmirates",24,54
"AE","movie","1992",9,"UnitedArabEmirates",24,54
"AE","movie","1965",2,"UnitedArabEmirates",24,54
"AE","movie","1998",10,"UnitedArabEmirates",24,54
"AE","movie","2022",5,"UnitedArabEmirates",24,54
"AE","movie","2014",37,"UnitedArabEmirates",24,54
"AE","movie","1957",1,"UnitedArabEmirates",24,54
"AE","movie","2005",21,"UnitedArabEmirates",24,54
"AE","movie","1972",1,"UnitedArabEmirates",24,54
"AE","movie","1987",6,"UnitedArabEmirates",24,54
"AE","movie","1994",11,"UnitedArabEmirates",24,54
"AE","movie","1974",2,"UnitedArabEmirates",24,54
"AE","tvEpisode","2015",2,"UnitedArabEmirates",24,54
"AE","movie","1978",1,"UnitedArabEmirates",24,54
"AE","tvEpisode","2005",1,"UnitedArabEmirates",24,54
