tconst,titleType,startYear,runtimeMinutes,averageRating,numVotes
tt0000574,movie,1906,575,6.1,698
tt0000591,movie,1907,489,5.2,16
tt0000679,movie,1908,480,5.3,65
tt0001184,movie,1910,450,3.4,19
tt0001258,movie,1910,440,5.7,132
tt0001285,movie,1909,421,5.4,56
tt0001498,movie,1911,420,7.7,12
tt0001592,movie,1911,418,5.5,12
tt0001630,movie,1911,402,5.7,25
tt0001790,movie,1913,400,6,44
tt0001812,movie,1911,374,6.3,13
tt0001892,movie,1911,360,5.9,214
tt0001911,movie,1911,360,5,20
tt0001964,movie,1911,360,6,75
tt0002026,movie,1912,360,4,13
tt0002101,movie,1912,350,5.1,520
tt0002130,movie,1911,330,7,2673
tt0002153,movie,1912,320,5.8,63
tt0002186,movie,1912,310,6.3,110
tt0002199,movie,1912,310,5.8,571
tt0002423,movie,1919,310,6.8,858
tt0002445,movie,1913,310,6.2,347
tt0002452,movie,1912,310,6.5,232
tt0002461,movie,1912,300,5.7,265
tt0002500,movie,1912,300,5.8,11
tt0002514,movie,1912,300,4.2,18
tt0002588,movie,1912,300,6,33
tt0002628,movie,1913,300,5.7,86
tt0002646,movie,1913,300,6.6,396
tt0002669,movie,1913,300,6.6,37
tt0002767,movie,1913,300,6,62
tt0002801,movie,1913,300,5.1,20
tt0002822,movie,1913,300,4.3,42
tt0002832,movie,1914,300,7.8,21
tt0002844,movie,1913,300,7,2175
tt0002885,movie,1913,300,6,107
tt0002898,movie,1913,280,7,134
tt0002917,movie,1913,223,5.7,32
tt0002922,movie,1913,220,5.2,63
tt0002973,movie,1913,207,5.6,10
tt0003006,movie,1913,200,6.3,23
tt0003014,movie,1913,199,7,1148
tt0003015,movie,1913,195,4.5,53
tt0003022,movie,1913,195,5.7,72
tt0003037,movie,1913,180,7,1500
tt0003102,movie,1914,170,6.3,124
tt0003131,movie,1914,166,6.7,151
tt0003159,movie,1913,163,5.9,46
tt0003165,movie,1913,163,7,1174
tt0003167,movie,1914,152,5.8,245
tt0003227,movie,1913,150,3.3,11
tt0003241,movie,1913,148,5.1,20
tt0003309,movie,1914,148,4.8,28
tt0003316,movie,1913,145,7.2,16
tt0003330,movie,1913,140,6.3,108
tt0003362,movie,1913,138,5.7,24
tt0003365,movie,1913,136,5.4,20
tt0003419,movie,1913,135,6.5,2005
tt0003431,movie,1913,135,5.7,12
tt0003471,movie,1913,133,6,661
tt0003489,movie,1913,131,6.1,540
tt0003502,movie,1914,126,5.5,31
tt0003565,movie,1913,125,5.8,30
tt0003596,movie,1914,124,6.2,64
tt0003637,movie,1915,122,6.4,435
tt0003643,movie,1914,121,6.4,1254
tt0003657,movie,1914,121,6.5,191
tt0003665,movie,1914,121,6.4,98
tt0003668,movie,1914,120,6.1,22
tt0003670,movie,1914,120,6.5,34
tt0003675,movie,1914,120,6.9,21
tt0003724,movie,1914,120,6.1,31
tt0003731,movie,1914,119,5.3,19
tt0003740,movie,1914,117,7.1,3422
tt0003748,movie,1914,116,8.3,16
tt0003772,movie,1914,116,6,1005
tt0003816,movie,1914,116,5.9,31
tt0003870,movie,1914,115,4.5,14
tt0003883,movie,1913,112,7.4,361
tt0003884,movie,1914,112,6.8,85
tt0003890,movie,1914,112,6.1,51
tt0003897,movie,1914,112,6.5,88
tt0003930,movie,1914,112,6.9,1283
tt0003952,movie,1914,111,6.9,1048
tt0003960,movie,1914,110,5.6,25
tt0003973,movie,1914,110,5.7,242
tt0004013,movie,1914,110,5.2,36
tt0004022,movie,1914,110,6.2,51
tt0004026,movie,1915,110,6.8,1138
tt0004027,movie,1914,110,5.9,24
tt0004052,movie,1914,109,7.1,107
tt0004066,movie,1914,109,6.9,582
tt0004099,movie,1914,109,5.2,473
tt0004121,movie,1914,108,5.5,90
tt0004134,movie,1915,108,6.5,585
tt0004150,movie,1914,106,5.8,464
tt0004164,movie,1914,105,3.6,48
tt0004167,movie,1914,105,8,19
tt0004179,movie,1914,105,5.5,43
tt0004181,movie,1914,100,6.1,1338
tt0004208,movie,1914,100,5.6,18
tt0004223,movie,1914,100,6.5,62
tt0004272,movie,1914,100,6.7,24
tt0004307,movie,1914,100,6.7,18
tt0004313,movie,1914,100,5.4,22
tt0004319,movie,1914,100,5.3,32
tt0004345,movie,1914,100,4.7,11
tt0004387,movie,1914,100,5.8,39
tt0004390,movie,1914,100,5.8,100
tt0004391,movie,1914,100,6.6,46
tt0004457,movie,1914,99,5.5,460
tt0004465,movie,1914,99,6.3,1023
tt0004525,movie,1914,97,5.8,47
tt0004545,movie,1914,97,3.3,42
tt0004555,movie,1914,97,6.1,59
tt0004571,movie,1914,97,5.9,24
tt0004573,movie,1914,96,4.4,13
tt0004593,movie,1914,96,6.2,52
tt0004630,movie,1914,95,6.3,78
tt0004635,movie,1914,95,5.7,957
tt0004681,movie,1914,95,6,226
tt0004707,movie,1914,94,6.3,3454
tt0004712,movie,1915,93,6.2,194
tt0004727,movie,1914,93,2.3,22
tt0004743,movie,1914,93,5.4,152
tt0004766,movie,1914,92,5.6,210
tt0004786,movie,1914,92,5.2,7
tt0004825,movie,1914,92,6.4,294
tt0004832,movie,1914,92,6.2,24
tt0004837,movie,1914,91,6.9,28
tt0004838,movie,1914,90,5.7,171
tt0004847,movie,1914,90,4.2,22
tt0004866,movie,1915,90,4.9,22
tt0004872,movie,1915,90,6.6,244
tt0004873,movie,1915,90,6.2,483
tt0004905,movie,1915,90,5.6,43
tt0004942,movie,1915,90,4.3,17
tt0004972,movie,1915,90,6.2,23893
tt0004974,movie,1915,90,3.7,24
tt0005005,movie,1915,90,6.5,27
tt0005041,movie,1915,90,6.8,64
tt0005059,movie,1915,90,6.5,117
tt0005060,movie,1915,90,6.4,984
tt0005078,movie,1915,90,6.6,2507
tt0005084,movie,1915,90,6.4,104
tt0005087,movie,1915,90,4.9,22
tt0005149,movie,1915,90,6,289
tt0005160,movie,1915,89,5,32
tt0005163,movie,1915,88,6.6,24
tt0005172,movie,1915,88,6.5,24
tt0005179,movie,1915,88,5.9,50
tt0005180,movie,1915,88,7.4,25
tt0005190,movie,1915,88,7.4,22
tt0005200,movie,1915,88,6.9,38
tt0005209,movie,1915,87,5.6,43
tt0005214,movie,1915,87,4.8,63
tt0005231,movie,1915,87,3.1,40
tt0005250,movie,1915,87,7.2,19
tt0005302,movie,1915,86,6.5,181
tt0005339,movie,1915,86,5.8,893
tt0005377,movie,1915,85,6.6,20
tt0005381,movie,1915,85,5.5,73
tt0005393,movie,1915,85,5.4,51
tt0005402,movie,1915,85,6.6,225
tt0005460,movie,1915,85,5.3,62
tt0005522,movie,1915,85,6,51
tt0005529,movie,1916,85,6.8,319
tt0005535,movie,1915,85,7.5,37
tt0005553,movie,1915,85,4.8,20
tt0005557,movie,1915,85,6.6,366
tt0005561,movie,1915,85,8.2,17
tt0005566,movie,1915,84,6.6,15
tt0005579,movie,1915,84,5.9,27
tt0005589,movie,1915,84,6.6,31
tt0005592,movie,1915,84,7.1,21
tt0005600,movie,1915,83,5.7,61
tt0005613,movie,1916,83,6.8,19
tt0005615,movie,1915,83,6.5,52
tt0005621,movie,1915,83,6.9,55
tt0005644,movie,1915,82,7,16
tt0005680,movie,1915,82,5.9,168
tt0005682,movie,1915,82,5.2,79
tt0005683,movie,1915,82,5.9,43
tt0005719,movie,1915,81,5.5,179
tt0005746,movie,1915,81,5,19
tt0005752,movie,1916,81,8.2,16
tt0005809,movie,1915,81,6.1,321
tt0005811,movie,1916,81,7.5,16
tt0005823,movie,1915,80,7,39
tt0005831,movie,1915,80,6.6,20
tt0005832,movie,1915,80,5.7,63
tt0005879,movie,1915,80,7.4,26
tt0005901,movie,1915,80,5.6,18
tt0005905,movie,1915,80,7.1,27
tt0005916,movie,1915,80,6.9,872
tt0005928,movie,1915,80,5.5,27
tt0005945,movie,1915,80,8.1,38
tt0005951,movie,1917,80,6.9,695
tt0005955,movie,1915,80,5.6,101
tt0005960,movie,1915,80,6.9,1245
tt0006008,movie,1915,80,6.1,37
tt0006102,movie,1914,80,5.3,55
tt0006128,movie,1915,80,7,14
tt0006140,movie,1915,80,6.5,20
tt0006182,movie,1915,80,6.1,107
tt0006201,movie,1915,80,2.4,25
tt0006204,movie,1916,80,6.5,19
tt0006206,movie,1915,80,7.3,4577
tt0006217,movie,1915,80,7.5,16
tt0006243,movie,1915,80,5.9,23
tt0006276,movie,1915,80,6.6,35
tt0006280,movie,1915,80,2,20
tt0006283,movie,1915,80,6.8,32
tt0006318,movie,1915,80,5.3,18
tt0006327,movie,1915,80,6,180
tt0006333,movie,1916,80,6.2,1682
tt0006339,movie,1916,80,5.1,44
tt0006343,movie,1916,80,5.9,27
tt0006357,movie,1916,80,6.5,95
tt0006358,movie,1916,79,7.6,21
tt0006359,movie,1916,78,6.1,85
tt0006371,movie,1916,78,9.2,18
tt0006375,movie,1916,78,6.5,48
tt0006385,movie,1916,78,7,18
tt0006386,movie,1915,78,6.3,38
tt0006397,movie,1916,77,5.8,57
tt0006405,movie,1916,77,6.7,397
tt0006409,movie,1916,77,7.4,72
tt0006413,movie,1916,77,5.5,17
tt0006417,movie,1916,77,6.2,16
tt0006419,movie,1917,77,4.2,14
tt0006426,movie,1916,76,5.7,54
tt0006434,movie,1917,76,4.8,17
tt0006436,movie,1917,76,5.8,18
tt0006437,movie,1916,75,7.7,27
