"tconst","startYear","runtimeMinutes","parentTconst","seasonNumber","episodeNumber","averageRating","numVotes"
"tt0020666",1930,8,"tt15180956",1,2,6.4,225
"tt0021166",1930,6,"tt15180956",1,3,6.8,249
"tt0021612",1931,7,"tt15180956",2,2,5.4,83
"tt0021655",1931,6,"tt15180956",2,5,6,53
"tt0021663",1931,7,"tt15180956",2,6,6.1,145
"tt0021664",1931,6,"tt15180956",2,4,7.3,1505
"tt0021701",1931,6,"tt15180956",2,1,6.4,150
"tt0021802",1931,6,"tt15180956",2,11,7.1,199
"tt0022009",1931,7,"tt15180956",2,10,6.2,161
"tt0022031",1931,8,"tt15180956",2,8,6.3,122
"tt0022127",1931,7,"tt15180956",2,9,6.9,150
"tt0022152",1931,7,"tt15180956",2,7,6.4,144
"tt0022385",1931,6,"tt15180956",2,3,6.4,158
"tt0022604",1932,8,"tt15180956",3,8,6.7,153
"tt0022610",1932,7,"tt15180956",3,10,6.3,114
"tt0022631",1932,6,"tt15180956",3,1,6.7,144
"tt0022666",1932,7,"tt15180956",3,11,6.8,164
"tt0022667",1932,7,"tt15180956",3,17,6.8,255
"tt0022668",1932,8,"tt15180956",3,15,6.8,301
"tt0022669",1932,7,"tt15180956",3,13,7,193
"tt0022670",1932,7,"tt15180956",3,19,6.8,199
"tt0022671",1932,7,"tt15180956",3,16,6.8,171
"tt0022704",1932,9,"tt15180956",3,2,7.1,285
"tt0022758",1932,7,"tt15180956",3,9,6.7,261
"tt0022786",1932,7,"tt15180956",3,6,6.9,198
"tt0022800",1932,7,"tt15180956",3,7,6.4,126
"tt0023045",1932,7,"tt15180956",3,18,6.6,342
"tt0023227",1932,8,"tt15180956",3,4,7.3,1519
"tt0023408",1932,7,"tt15180956",3,3,6.2,84
"tt0023417",1932,7,"tt15180956",3,5,6.9,133
"tt0023514",1932,8,"tt15180956",3,12,6,153
"tt0023797",1933,7,"tt15180956",4,8,6.3,227
"tt0023798",1933,7,"tt15180956",4,6,6.6,171
"tt0023799",1933,7,"tt15180956",4,2,6.7,338
"tt0023800",1933,7,"tt15180956",4,14,6.6,316
"tt0023801",1933,6,"tt15180956",4,1,6.7,265
"tt0023802",1933,7,"tt15180956",4,7,7,179
"tt0023803",1933,7,"tt15180956",4,4,7.2,236
"tt0024154",1933,7,"tt15180956",4,12,7.2,201
"tt0024187",1933,5,"tt15180956",4,3,6.6,282
"tt0024354",1933,8,"tt15180956",4,13,6.3,165
"tt0024355",1933,7,"tt15180956",4,9,6.3,135
"tt0024404",1933,7,"tt15180956",4,11,7.5,567
"tt0024428",1933,8,"tt15180956",4,15,6.7,183
"tt0024461",1933,7,"tt15180956",4,10,7.7,1672
"tt0024877",1934,7,"tt15180956",5,7,6.6,139
"tt0024878",1934,7,"tt15180956",5,10,6.6,116
"tt0024879",1934,7,"tt15180956",5,11,6.3,117
"tt0024880",1934,9,"tt15180956",5,5,6.3,339
"tt0024881",1934,7,"tt15180956",5,6,6.5,139
"tt0024882",1934,7,"tt15180956",5,4,7.2,373
"tt0025213",1934,7,"tt15180956",5,3,7.1,323
"tt0025343",1934,6,"tt15180956",5,12,6.1,108
"tt0025665",1934,11,"tt15180956",5,8,6.9,567
"tt0025705",1934,7,"tt15180956",5,2,7.1,262
"tt0025778",1934,7,"tt15180956",5,1,6.5,187
"tt0025877",1934,7,"tt15180956",5,9,6.1,122
"tt0025979",1934,7,"tt15180956",5,13,6.1,96
"tt0026091",1935,8,"tt15180956",6,1,5.8,201
"tt0026109",1935,7,"tt15180956",6,8,6.9,356
"tt0026110",1935,7,"tt15180956",6,11,5.4,213
"tt0026553",1935,8,"tt15180956",6,9,6.5,153
"tt0026601",1935,6,"tt15180956",6,7,6.3,155
"tt0026640",1935,6,"tt15180956",6,6,6.2,217
"tt0026669",1935,7,"tt15180956",6,10,5.1,230
"tt0026788",1935,7,"tt15180956",6,5,5.8,155
"tt0027045",1935,8,"tt15180956",6,3,5.7,208
"tt0027061",1935,6,"tt15180956",6,4,5.4,199
"tt0027074",1935,6,"tt15180956",6,2,6,93
"tt0027339",1936,7,"tt15180956",7,11,6.3,267
"tt0027352",1936,6,"tt15180956",7,3,5.8,205
"tt0027353",1936,7,"tt15180956",7,1,6.5,253
"tt0027691",1936,6,"tt15180956",7,10,6.8,143
"tt0027717",1936,7,"tt15180956",7,8,5.9,160
"tt0027895",1936,7,"tt15180956",6,12,6.2,108
"tt0027933",1936,7,"tt15180956",7,12,6.3,102
"tt0027984",1936,6,"tt15180956",7,6,6.2,153
"tt0028042",1936,7,"tt15180956",7,2,6.1,182
"tt0028279",1936,7,"tt15180956",7,5,6.3,153
"tt0028403",1936,7,"tt15180956",7,9,5.6,133
"tt0028482",1936,6,"tt15180956",7,4,5.5,125
"tt0028526",1936,7,"tt15180956",7,7,6.2,138
"tt0028685",1937,6,"tt15180956",8,8,6.3,150
"tt0028787",1937,7,"tt15180956",8,7,6.3,110
"tt0028894",1937,8,"tt15180956",8,11,6,110
"tt0029022",1937,6,"tt15180956",8,3,5.9,123
"tt0029027",1937,6,"tt15180956",8,1,6.6,241
"tt0029046",1937,7,"tt15180956",8,6,6.3,195
"tt0029302",1937,7,"tt15180956",8,10,5.7,85
"tt0029447",1937,7,"tt15180956",8,5,6.6,105
"tt0029448",1937,7,"tt15180956",8,4,5.8,126
"tt0029538",1937,7,"tt15180956",8,9,6.4,103
"tt0029773",1937,7,"tt15180956",8,2,5.3,118
"tt0029820",1937,7,"tt15180956",8,12,5.5,92
"tt0029903",1938,6,"tt15180956",9,2,5.9,96
"tt0029955",1938,NA,"tt15180956",9,7,5.6,50
"tt0029956",1938,NA,"tt15180956",9,9,6.2,19
"tt0030244",1938,7,"tt15180956",9,3,6.2,30
"tt0030524",1938,7,"tt15180956",9,11,5.5,123
"tt0030536",1938,6,"tt15180956",9,4,5.8,373
"tt0030633",1938,7,"tt15180956",9,6,5.5,47
"tt0030634",1938,8,"tt15180956",9,8,6,77
"tt0030682",1938,6,"tt15180956",9,1,6.2,86
"tt0030711",1938,7,"tt15180956",9,10,6.1,124
"tt0030818",1938,7,"tt15180956",9,5,5.7,80
"tt0030869",1938,6,"tt15180956",9,12,6,94
"tt0031689",1939,6,"tt15180956",10,3,5.7,202
"tt0031694",1939,7,"tt15180956",10,1,5.3,150
"tt0031855",1939,6,"tt15180956",10,5,5.4,154
"tt0031901",1939,6,"tt15180956",10,4,5.6,138
"tt0031944",1939,8,"tt15180956",10,2,6.4,109
"tt0032151",1939,6,"tt15180956",1939,6,4.8,39
"tt0035832",1943,7,"tt15234298",1,1,7.6,1018
"tt0038087",1945,8,"tt15234298",1,2,7.5,615
"tt0038253",1945,8,"tt15234298",1,3,7.3,559
"tt0038786",1946,7,"tt15234298",1,4,7.6,1178
"tt0041721",1949,8,"tt15234298",1,7,7.5,685
"tt0041858",1949,8,"tt15234298",1,5,7.2,730
"tt0041951",1949,30,"tt0041038",1,9,7.5,70
"tt0042032",1949,7,"tt15234298",1,6,7.5,536
"tt0505147",1949,NA,"tt0040021",1,16,8.5,25
"tt0569044",1949,NA,"tt0041021",1,12,7.9,15
"tt0635338",1949,23,"tt0041038",1,16,7.5,83
"tt0635367",1949,30,"tt0041038",1,1,7.7,211
"tt0635371",1949,23,"tt0041038",1,13,7.4,62
"tt0635387",1949,23,"tt0041038",1,10,7.6,66
"tt0635411",1949,23,"tt0041038",1,15,7.5,74
"tt0635424",1949,25,"tt0041038",1,7,7.8,81
"tt0635431",1949,23,"tt0041038",1,12,7.7,63
"tt0635434",1949,30,"tt0041038",1,5,7.7,88
"tt0635444",1949,26,"tt0041038",1,11,8.1,61
"tt0635478",1949,26,"tt0041038",1,4,7.6,106
"tt0635480",1949,23,"tt0041038",1,2,7.8,143
"tt0635481",1949,23,"tt0041038",1,3,7.5,124
"tt0635486",1949,30,"tt0041038",1,14,7.8,76
