startYear,titleType,Freq
1920,movie,2648
1921,movie,2587
1922,movie,2175
1923,movie,1911
1924,movie,1923
1925,movie,2065
1926,movie,2045
1927,movie,2166
1928,movie,2141
1929,movie,2020
1930,movie,1980
1931,movie,2053
1932,movie,2078
1933,movie,1997
1934,movie,1919
1935,movie,1946
1936,movie,2229
1937,movie,2125
1938,movie,1980
1939,movie,1871
1940,movie,1758
1941,movie,1529
1942,movie,1465
1943,movie,1327
1944,movie,1166
1945,movie,1121
1946,movie,1312
1947,movie,1500
1948,movie,1628
1949,movie,1784
1950,movie,1913
1920,radioEpisode,0
1921,radioEpisode,0
1922,radioEpisode,0
1923,radioEpisode,0
1924,radioEpisode,0
1925,radioEpisode,0
1926,radioEpisode,0
1927,radioEpisode,0
1928,radioEpisode,0
1929,radioEpisode,0
1930,radioEpisode,0
1931,radioEpisode,0
1932,radioEpisode,0
1933,radioEpisode,0
1934,radioEpisode,0
1935,radioEpisode,0
1936,radioEpisode,0
1937,radioEpisode,0
1938,radioEpisode,0
1939,radioEpisode,0
1940,radioEpisode,0
1941,radioEpisode,0
1942,radioEpisode,0
1943,radioEpisode,0
1944,radioEpisode,0
1945,radioEpisode,0
1946,radioEpisode,0
1947,radioEpisode,0
1948,radioEpisode,0
1949,radioEpisode,0
1950,radioEpisode,0
1920,short,1887
1921,short,1640
1922,short,1422
1923,short,1128
1924,short,1167
1925,short,1321
1926,short,1351
1927,short,1350
1928,short,1355
1929,short,1627
1930,short,1175
1931,short,1190
1932,short,957
1933,short,878
1934,short,1001
1935,short,919
1936,short,1003
1937,short,1066
1938,short,1021
1939,short,897
1940,short,800
1941,short,924
1942,short,924
1943,short,829
1944,short,816
1945,short,833
1946,short,874
1947,short,831
1948,short,888
1949,short,959
1950,short,973
1920,tvEpisode,0
1921,tvEpisode,2
1922,tvEpisode,3
1923,tvEpisode,3
1924,tvEpisode,3
1925,tvEpisode,5
1926,tvEpisode,5
1927,tvEpisode,5
1928,tvEpisode,2
1929,tvEpisode,3
1930,tvEpisode,28
1931,tvEpisode,27
1932,tvEpisode,30
1933,tvEpisode,40
1934,tvEpisode,65
1935,tvEpisode,36
1936,tvEpisode,95
1937,tvEpisode,300
1938,tvEpisode,265
1939,tvEpisode,96
1940,tvEpisode,58
1941,tvEpisode,37
1942,tvEpisode,26
1943,tvEpisode,46
1944,tvEpisode,48
1945,tvEpisode,79
1946,tvEpisode,191
1947,tvEpisode,420
1948,tvEpisode,811
1949,tvEpisode,1862
1950,tvEpisode,4077
1920,tvMiniSeries,0
1921,tvMiniSeries,0
1922,tvMiniSeries,0
1923,tvMiniSeries,0
1924,tvMiniSeries,0
1925,tvMiniSeries,0
1926,tvMiniSeries,0
1927,tvMiniSeries,0
1928,tvMiniSeries,0
1929,tvMiniSeries,1
1930,tvMiniSeries,0
1931,tvMiniSeries,0
1932,tvMiniSeries,0
1933,tvMiniSeries,0
1934,tvMiniSeries,0
1935,tvMiniSeries,0
1936,tvMiniSeries,1
1937,tvMiniSeries,5
1938,tvMiniSeries,0
1939,tvMiniSeries,2
1940,tvMiniSeries,0
1941,tvMiniSeries,0
1942,tvMiniSeries,0
1943,tvMiniSeries,0
1944,tvMiniSeries,0
1945,tvMiniSeries,1
1946,tvMiniSeries,2
1947,tvMiniSeries,3
1948,tvMiniSeries,5
